Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Population,Population (1000),Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Region
Saint Kitts and Nevis,43.11,1.83,0,66.6,4.08,36.05,79.59,82.5,19.99,3.5,9.99,52050,52.05,5.72,0.95,28.64,0.79,68.17,NA,0.71,14.61,44.4,North America
Saint Lucia,86.8,0.28,0.01,80.2,3.7,34.1,66.14,90.89,32.13,4.52,6.98,180950,180.95,6.3,1.98,29.4,0.67,41.21,NA,0.64,6.79,45.8,North America
Saint Vincent and the Grenadines,33.24,0.29,0,118.62,4.49,18.14,137.79,91.04,29.73,2.2,1.38,109830,109.83,8.49,2.78,57.55,3.86,45.52,NA,0.47,9.51,67.6,North America
Samoa,23.73,3.77,2.06,61.29,2.19,46.32,179.77,96.67,32.75,2.33,175.34,195350,195.35,0,0.97,128.26,2.24,34.69,0.06,0.18,8.53,19.43,Oceania
Sao Tome and Principe,18.66,0.27,NA,90.67,0.69,28.3,224.52,14.81,6.33,0.23,122.7,207090,207.09,3.82,0.36,45.65,0.09,31.87,NA,0.03,9.59,10.53,Africa
Saudi Arabia,0,4.28,0,178.42,6.56,11.33,76.94,54.12,64.03,1.69,1.63,33101180,33101.18,5.21,2.66,15.89,2.24,31.22,0.01,1.24,19.26,62.31,Asia
Senegal,2.82,0.31,0,227.75,1.65,18.09,20.61,14.13,10.98,1.81,6.71,15419350,15419.35,4.14,0.63,23,1.02,18.4,0,0.92,16.98,69.37,Africa
Serbia,65.44,3.76,0,145.25,9.42,6.18,89.03,53.48,173.12,3.56,1.97,8829630,8829.63,2.69,0.36,37.92,3.62,30.18,0.01,1.89,6.92,110.17,Europe
Sierra Leone,3.16,0.07,0,209.35,1.41,26.3,33.73,8.23,22.8,0.9,6.3,7488420,7488.42,9.36,0.67,130.46,0.8,6.64,NA,1.05,13.4,47.81,Africa
Slovakia,84.36,18.67,0,74.39,12.93,9.7,48.83,59.34,157.93,2.83,2.83,5447900,5447.9,1.34,0.58,50.69,3.46,75.96,NA,1.54,19.8,62.79,Europe
Slovenia,91.67,20.65,0.01,140.16,9.87,11.96,118.17,76.39,225.02,3.45,2.36,2076390,2076.39,2.03,1.03,49.27,4.8,45.74,NA,3.62,8.7,91.83,Europe
Solomon Islands,10.95,1.37,0.16,119.07,1.09,30.14,43.28,11.74,5.78,0.52,66.42,636040,636.04,9.72,0.48,320,1.13,10.91,NA,0.47,4.39,14.81,Oceania
South Africa,69.73,0.66,0.01,190.34,6.61,5.97,21.54,60.02,53.59,4.95,2.74,57009760,57009.76,1.72,0.6,31.72,1.47,49.72,NA,0.12,13.05,41.88,Africa
Spain,99.68,4.42,0.02,113.55,13.73,42.47,90.64,100.25,180.02,3.01,4.97,46647430,46647.43,5,0.13,58.09,4.18,34.66,NA,8.04,28.36,146.54,Europe
Sri Lanka,6.96,0.15,0.04,212.43,4.27,30.84,42.08,9.04,11.19,1.02,72.94,21128030,21128.03,9.82,5.36,20.23,2.88,27.81,0,1.38,2.52,49.83,Asia
Sudan,0,0.97,0,130.76,1.19,1.03,71.78,21.39,105.38,2.83,4.98,40813400,40813.4,10.76,0.41,19.4,1.52,31.61,7.35,0,9.48,84.49,Africa
Suriname,48.51,0.51,0,162.24,6.29,16.69,101.05,42.4,12.55,0.67,7.86,570500,570.5,2,0.26,28.56,1.05,54.73,3.73,0.18,15.53,62.47,South America
Sweden,82.18,19.4,0,115.05,13.5,32.81,65.78,77.06,304.12,0.16,3.18,9904900,9904.9,1.74,0.9,52.66,10.28,46.84,0,1.85,7.37,85.67,Europe
Switzerland,92.94,8.93,0.04,111.24,10,16.94,85.62,67.53,310.67,2.88,2.09,8455800,8455.8,1.85,0.71,40.06,6.93,55.3,NA,4.42,19.78,92.01,Europe
Tajikistan,1.54,0.02,0,144.66,2.44,0.37,40.97,16.47,56.67,2.32,1.46,8880270,8880.27,2.69,0.33,31.68,0.6,17.97,0,0.63,9.11,208.83,Asia
Thailand,40.18,1,0.36,194.75,12.36,29.17,92.39,27.37,14.73,1.33,14.17,69209810,69209.81,2.6,7.35,20.95,1.4,44.84,NA,1.04,8.67,39.89,Asia
Timor-Leste,3.48,0.7,0,205.5,0.8,7.98,16.41,31.51,1.02,0.9,4.38,1243260,1243.26,7.1,0.39,42.94,7.91,22.01,NA,0.01,5.34,24.87,Asia
Togo,9.03,0.26,0,140.77,0.95,11.73,8.1,12.58,6.45,0.69,4.2,7698470,7698.47,15.69,0.53,178.61,0.75,16.3,NA,0,12.55,19.26,Africa
Trinidad and Tobago,25.47,2.87,0,134,4.14,23.85,50.91,68.65,29.47,1.88,12.3,1384060,1384.06,9.15,2.36,35.98,0.92,57.53,NA,0.95,12.86,36.09,North America
Tunisia,12.16,3.6,0,208.28,7.79,13.16,93.85,28.36,111.94,1.6,3.51,11433440,11433.44,7.45,1.84,30.63,3.42,36,NA,6.03,21.69,272.58,North America
Turkey,12.16,2.74,0,182.35,7.43,4.85,128.33,38.87,175.85,1.61,5.11,81116450,81116.45,12.81,2.35,46.86,3.76,31.94,NA,8.76,19.11,254.11,Europe
Turkmenistan,6.93,4.64,0,203.64,7.07,2.94,57.01,60.21,145.28,0.81,0.91,5757670,5757.67,1.42,0.02,31.64,1.3,9.28,NA,0.39,7.78,143.09,Asia
Uganda,66.56,0.38,0,72.83,0.88,11.27,122.08,9.69,37.51,1.22,6.84,41166590,41166.59,25.84,0.13,133.41,0.14,13.6,0,0,8.03,28.82,Africa
Ukraine,44.91,3,0.01,160.16,14.43,11.67,50.33,46.92,146.18,2.29,0.3,44487710,44487.71,1.88,0.19,131.26,1.51,66.4,NA,1.38,11.07,161.44,Europe
United Arab Emirates,0,2.38,0,162.03,7.48,24.71,102.87,62.02,33.23,2.63,7.7,9487200,9487.2,26.5,4.01,11.22,2.07,45.92,NA,7.33,9.98,103.82,Asia
United Kingdom,95.17,4.98,0.01,118.28,11.23,19.73,89.6,79.89,223.65,1.91,4.05,66727460,66727.46,3.68,1.18,92.46,4.45,44.09,NA,1.63,13.33,82.91,Europe
Tanzania,52.72,0.47,0,121.87,0.35,6.8,79.51,9.22,39.21,0,14.98,54660340,54660.34,25.39,0.32,162.61,0.35,12.07,0,0.49,10.66,46.11,Africa
United States of America,96.37,3.33,0.04,109.05,15.57,22.36,90,124.1,254.87,0.39,6.43,325084760,325084.76,3.75,0.97,56.24,4.87,65.77,NA,3.51,19.59,113.41,North America
Uruguay,54.34,3.2,0,156.19,11.83,9.23,81.89,57.69,188.79,1.78,4.22,3436640,3436.64,2.95,0.22,46.38,9.4,51.96,NA,0.2,15.75,59.93,South America
Vanuatu,3.18,1.04,0,84.09,2.46,28.4,76.22,36.03,16.65,2.33,159.73,285510,285.51,0.01,0.49,166.96,0.4,17.9,NA,0.05,4.82,51.39,Oceania
Venezuela,27.72,0.43,0,138.06,3.62,10.1,81.67,40.94,100.32,2.22,0.3,29402480,29402.48,3.57,0.01,27.39,1.58,36.43,0,0.01,14.67,44.3,South America
Vietnam,20.82,2.34,0.06,240.78,4.39,37.66,84.23,63.33,8.66,5.92,12,94600650,94600.65,2.9,2.96,15.12,4.11,18.33,11.63,4.38,3.14,170.53,Asia
Yemen,0.22,0.27,0,164.59,1.56,3.17,31.06,16.86,11.44,1.71,0.54,27834820,27834.82,5.23,0.21,6.53,1.33,30.53,0,0.01,6.54,19.44,Asia
Zambia,40.84,0.59,0,150.9,2.42,12.05,7.25,13.12,12.51,2.17,13.34,16853600,16853.6,1.25,0.34,56.71,0.44,11.13,0,0.01,4.74,24.67,Africa
Zimbabwe,27.41,0.51,0,152.92,1.81,3.73,14.87,17.67,29.95,1.41,3.04,14236590,14236.59,2.88,0.17,20.19,1.01,31.42,NA,0.35,11.56,15.69,Africa
,,,,,,,,,,,,,,,,,,,,,,,
