Country,Alcoholic Beverages,Animal fats,"Aquatic Products, Other",Cereals - Excluding Beer,Eggs,"Fish, Seafood",Fruits - Excluding Wine,Meat,Milk - Excluding Butter,Offals,Oilcrops,Population,Population (1000),Pulses,Spices,Starchy Roots,Stimulants,Sugar & Sweeteners,Sugar Crops,Treenuts,Vegetable Oils,Vegetables,Region
China,40.17,1.88,0.69,195.57,22.72,38.17,97.93,60.59,24.05,3.99,9.94,1452625240,1452625.24,1.37,0.33,66.6,1.56,8.24,0.06,2.94,7.72,377.17,Asia
"China, Hong Kong SAR",31.42,0.59,1.19,133.56,18.53,70.75,69,137.07,33.25,32.82,5.17,7306320,7306.32,1.05,0.56,10.28,3.75,53.34,0,7.9,7.79,129.85,Asia
"China, Macao SAR",43.05,1.8,0.79,110.68,18.17,56.33,42.83,103.14,31.61,6.01,6.68,622590,622.59,1.08,0.93,15.85,3.51,92.57,1.25,2.4,13.36,134.57,Asia
"China, mainland",40.29,1.89,0.7,197.03,22.89,38.14,97.94,59.9,23.9,3.88,9.9,1421021790,1421021.79,1.35,0.31,67.84,1.54,7.6,0,2.87,7.46,382.87,Asia
"China, Taiwan Province of",35.43,2.02,0.36,129.11,13.96,29.69,107.46,77.56,29.84,1.93,13.75,23674550,23674.55,2.66,1.31,10.97,1.76,30.04,3.62,5.36,23.4,117.75,Asia
Colombia,48.81,1.28,0,127.49,12.79,7.16,178.17,55.9,121.81,2.72,3.58,48909840,48909.84,5.51,0.54,79.13,0.09,74.74,0.44,1.49,14.87,48.73,South America
Congo,60.79,0.15,0,76.66,0.56,29.34,49.03,40.11,1.18,3.73,4.45,5110690,5110.69,2.95,0.04,284.83,0.21,17.04,0,0.02,8.21,31.27,Africa
Costa Rica,23.54,2.12,0.01,120.06,10.51,18.46,131.97,53.55,172.63,1.61,4.04,4949950,4949.95,11.58,0.6,21.73,4.41,54.07,NA,0.55,19.91,41.36,North America
Croatia,101.58,4.68,0.01,117.64,8.06,18.74,69.48,75.29,242.15,3.85,7.12,4182860,4182.86,0.76,0.48,36.84,5.01,62.93,NA,1.55,7.76,255.12,Europe
Cuba,34.78,2.03,0,167.76,8.89,5.69,152.62,55.47,94.55,2.46,9.03,11339250,11339.25,19.15,0.15,87.09,1.11,53.41,0,0.01,7.66,141.46,North America
Cyprus,47.18,0.38,0.02,96.76,7.87,24.94,84.89,72.82,113.33,2.17,5.6,1179680,1179.68,2.89,0.42,24.25,3.27,57.79,0,2.44,16.35,101.2,Europe
Czechia,171.23,15.55,0.01,98.98,8.63,9.31,59.04,82.78,190.93,2.33,1.65,10641030,10641.03,1.98,0.55,59.09,2.33,66.2,NA,0.83,17.13,78.73,Europe
Democratic People's Republic of Korea,8.85,0.01,0.01,176.77,4.6,11.4,60.49,13.67,3.1,0.65,2.06,25429830,25429.83,10.84,0,61.53,0.14,3.64,0,0.42,7.67,126.22,Asia
Denmark,94.03,23.89,0.02,129.36,15.79,22.7,59.84,70.82,307.03,6.44,2.28,5732270,5732.27,0.71,1.49,59.87,7.83,55.28,0,2.19,1.76,100.89,Europe
Djibouti,3.26,0.5,0,174.93,1.1,3.69,28.25,15.04,25.1,2.22,0.49,944100,944.1,13.57,1.3,16.08,1.13,36.25,NA,0.35,13.94,84.26,Africa
Dominica,18.61,0.63,0,67.27,2.46,28.06,381.76,55.02,87.45,2.41,21.87,71460,71.46,4.46,2.99,135.43,5.05,62.77,0,0.07,7.51,91.71,North America
Dominican Republic,50.65,1.77,0.01,109.24,10.17,9.56,291.01,55.24,96.57,4.05,17.98,10513100,10513.1,9.28,0.41,31.87,2.24,33.66,0,0.17,20.43,43.21,North America
Ecuador,37.12,1.44,0.37,168.11,7.78,7.77,90.62,45.22,107.93,2.48,1.99,16785360,16785.36,1.77,0.2,25.59,0.08,19.58,0,0.18,15.53,28.16,South America
Egypt,1.08,1.34,0,262.13,3.45,23.69,103.75,26.29,41.22,4.74,9.78,96442590,96442.59,4.58,0.98,40.25,1.29,26.89,30.41,0.4,5.74,159.33,Africa
El Salvador,25.09,1.29,0,135.89,8.73,6.64,68.97,30.52,101.26,0.92,16.54,6388130,6388.13,16.99,0.14,26.03,3.07,40.86,NA,0.18,5.29,84.25,North America
Estonia,127.94,9.41,0.01,131.14,12.69,14.72,72.41,63.63,357.43,3.01,1.07,1319390,1319.39,3.04,1.19,66.92,4.38,49.33,NA,1.83,7.17,102.35,Europe
Eswatini,66.28,1.09,0.02,157.41,1.68,3.88,91.09,27.6,41.85,2.79,3.2,1124810,1124.81,3.81,1.72,56.64,0.69,33.86,NA,0.95,3.47,27.37,Africa
Ethiopia,17.76,0.2,0,159.76,0.43,0.44,8.52,5.4,30.86,1,1.68,106399920,106399.92,21.85,3.11,81.71,2.14,9.53,0,0.58,3.4,13.35,Africa
Fiji,27.18,4.27,0.03,148.25,3.92,34.83,31.62,43.85,25.46,2.4,64.01,877460,877.46,11.32,0.73,114.87,1.81,142.14,NA,0.23,12.69,57.37,Oceania
Finland,98.85,11.4,0,114.17,8.74,33.62,69.99,76.69,457.7,2.41,1.94,5511370,5511.37,1.17,0.37,60.78,11.97,40.39,NA,1.01,5.42,84.18,Europe
France,78.56,14.92,0.02,132,11.53,34.37,92.05,83.04,260.11,5.68,2.79,64842510,64842.51,1.87,0.31,50.88,5.52,49.27,NA,3.95,16.37,96.66,Europe
French Polynesia,63.78,0.42,0.23,103.79,7.31,47.24,59.05,96.08,39.85,3.73,43.18,276100,276.1,1.97,0.15,48.09,1.71,38.97,9.24,0.55,13.13,55.63,Oceania
Gabon,84.8,0.15,0,124.92,0.96,30.94,123.8,59.2,13,7.89,11.66,2064820,2064.82,0.19,0.02,162.7,0.29,17.14,1.71,0.07,6.61,32.86,Africa
Gambia,19.96,0.08,NA,153.75,1.41,27.53,6.14,7.82,33.83,0.57,22.22,2213890,2213.89,0.9,0.03,6.05,1.91,28.92,0,0.63,15.47,17.26,Africa
Georgia,30.77,2.86,0,189.71,6.11,8.04,38.53,31.83,137.93,1.83,1.02,4008720,4008.72,0.03,0.3,45.58,2.91,40.2,NA,1.98,8.11,49.77,Europe
Germany,127.76,12.67,0.02,113.89,11.22,12.75,68.17,87.78,267.52,1.41,3.21,82658410,82658.41,0.79,0.81,67.38,6.59,47.3,0,3.59,15.29,95.36,Europe
Ghana,16.07,0.15,0,107.59,1.2,25.51,177.43,13.73,7.11,1.56,13.54,29121470,29121.47,6.67,4.05,419.14,0.09,13.83,4.79,0.62,6.22,28.67,Africa
